Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,13.760000,14.450000,13.640000,14.340000,10.491478,3579500
2017-01-01,14.360000,15.040000,14.170000,14.800000,10.884094,4170200
2017-02-01,14.850000,15.090000,14.560000,14.830000,10.960000,3095100
2017-03-01,14.820000,15.940000,14.460000,15.750000,11.697033,6390600
2017-04-01,15.770000,16.250000,15.490000,15.590000,11.631847,3771000
2017-05-01,15.760000,16.090000,14.810000,15.660000,11.738654,4118500
2017-06-01,15.670000,16.150000,15.300000,15.660000,11.793420,4196900
2017-07-01,15.680000,15.740000,14.330000,14.620000,11.061307,6234700
2017-08-01,14.610000,14.615000,13.860000,14.200000,10.797717,5357600
2017-09-01,14.200000,14.550000,13.560000,13.770000,10.528494,6958400
2017-10-01,13.770000,14.410000,13.730000,13.910000,10.695860,4437200
2017-11-01,13.950000,13.960000,13.000000,13.450000,10.400899,6634400
2017-12-01,13.390000,13.480000,12.780000,13.390000,10.415172,4045600
2018-01-01,13.420000,13.500000,12.200000,12.340000,9.654815,8712000
2018-02-01,12.340000,12.360000,11.510000,11.580000,9.117127,6817600
2018-03-01,11.560000,12.110000,11.450000,11.850000,9.392376,4018300
2018-04-01,11.810000,11.820000,11.380000,11.460000,9.083259,2943900
2018-05-01,11.460000,12.480000,11.420000,12.320000,9.896258,5039200
2018-06-01,12.350000,13.320000,12.300000,12.440000,10.055497,10516100
2018-07-01,12.420000,12.630000,11.810000,12.010000,9.707918,4988200
2018-08-01,12.000000,12.340000,11.840000,12.090000,9.833849,5642300
2018-09-01,12.050000,12.130000,11.325000,11.500000,9.414945,5583100
2018-10-01,11.520000,11.535000,10.500000,10.850000,8.940281,5573200
2018-11-01,10.610000,11.550000,10.230000,11.180000,9.280365,7029500
2018-12-01,11.240000,11.320000,9.760000,10.370000,8.666778,7512500
2019-01-01,10.360000,11.730000,10.280000,11.660000,9.814430,7027300
2019-02-01,11.670000,12.350000,11.610000,12.230000,10.366340,6826100
2019-03-01,12.260000,13.630000,12.150000,13.540000,11.551362,7363600
2019-04-01,13.580000,14.030000,13.510000,13.870000,11.903501,6638600
2019-05-01,13.870000,13.900000,13.210000,13.500000,11.651532,5544400
2019-06-01,13.530000,14.180000,13.420000,13.850000,12.022665,4724300
2019-07-01,13.920000,14.340000,13.580000,13.690000,11.950981,5050300
2019-08-01,13.790000,13.900000,12.690000,13.110000,11.507915,5846900
2019-09-01,13.190000,13.720000,13.100000,13.630000,12.036533,6487000
2019-10-01,13.650000,14.220000,13.550000,14.180000,12.596105,6237100
2019-11-01,14.240000,15.130000,14.140000,15.030000,13.426342,7456900
2019-12-01,15.070000,15.790000,14.720000,15.520000,13.938117,9744000
2020-01-01,15.550000,16.730000,15.320000,16.549999,14.940103,8617800
2020-02-01,16.549999,18.250000,16.129999,16.410000,14.887546,11675400
2020-03-01,16.049999,17.709999,10.820000,14.870000,13.550544,24406500
2020-04-01,14.500000,15.700000,13.620000,15.040000,13.782354,13888800
2020-05-01,14.710000,15.500000,13.590000,14.330000,13.200693,10116500
2020-06-01,14.300000,15.310000,13.650000,14.590000,13.513606,8896900
2020-07-01,14.680000,15.610000,13.860000,15.600000,14.530511,8279500
2020-08-01,15.820000,16.240000,15.230000,15.940000,14.929675,6977700
2020-09-01,15.970000,16.860001,15.500000,16.730000,15.747044,8516700
2020-10-01,16.840000,18.160000,16.430000,16.700001,15.796791,9209400
2020-11-01,16.830000,18.219999,16.719999,17.940001,17.043585,9389200
2020-12-01,18.120001,22.629999,17.445000,21.760000,20.765961,14848600
2021-01-01,21.920000,24.469999,21.139999,21.500000,20.605953,18739200
2021-02-01,21.709999,22.040001,19.660000,20.180000,19.409159,9519900
2021-03-01,20.299999,20.680000,18.150000,20.570000,19.856104,17795800
2021-04-01,20.740000,21.030001,19.400000,19.469999,18.867020,12394000
2021-05-01,19.590000,19.590000,18.240000,19.330000,18.802069,10152900
2021-06-01,19.490000,21.020000,19.340000,20.830000,20.346981,7134400
2021-07-01,20.840000,22.000000,20.830000,21.969999,21.543446,6230300
2021-08-01,21.969999,22.549999,19.510000,19.639999,19.328579,8993900
2021-09-01,19.590000,20.559999,18.860001,18.990000,18.761404,6528300
2021-10-01,19.040001,19.780001,18.160000,18.320000,18.170656,13582800
2021-11-01,18.309999,19.219999,18.150000,18.660000,18.582869,8003000
2021-11-26,18.709999,18.790001,18.559999,18.660000,18.660000,328099
