Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,38.889999,41.279999,37.529999,40.459999,29.806330,6414700
2017-01-01,40.590000,41.160000,38.169998,38.200001,28.233566,6121200
2017-02-01,38.200001,41.500000,37.320000,39.110001,29.004066,7905800
2017-03-01,39.450001,39.689999,37.570000,39.009998,29.023355,7176800
2017-04-01,39.490002,39.490002,37.529999,37.779999,28.205761,5275700
2017-05-01,37.849998,41.470001,37.849998,40.200001,30.118250,9091800
2017-06-01,40.299999,42.570000,40.110001,40.820000,30.690165,6138100
2017-07-01,40.619999,41.000000,38.779999,38.959999,29.391285,5047500
2017-08-01,38.880001,39.169998,35.310001,36.240002,27.435350,11708300
2017-09-01,36.150002,39.439999,35.389999,38.139999,28.986198,9802800
2017-10-01,38.169998,39.310001,36.369999,37.980000,28.969742,7629800
2017-11-01,37.980000,38.380001,35.549999,36.360001,27.838861,7510400
2017-12-01,36.000000,36.250000,34.070000,35.419998,27.224262,13543000
2018-01-01,35.369999,37.250000,34.259998,34.610001,26.708370,10570500
2018-02-01,34.580002,34.580002,31.200001,32.700001,25.331388,10533700
2018-03-01,32.549999,33.740002,31.480000,33.509998,26.068621,10355200
2018-04-01,33.549999,36.299999,33.070000,34.570000,27.009573,8939600
2018-05-01,34.580002,36.360001,33.500000,36.349998,28.511606,13237900
2018-06-01,36.410000,37.299999,35.520000,36.580002,28.809532,14061700
2018-07-01,36.580002,37.980000,36.230000,37.660000,29.772923,7742300
2018-08-01,37.610001,38.910000,35.910000,35.959999,28.536459,10655200
2018-09-01,36.020000,36.020000,34.009998,34.610001,27.576290,9906100
2018-10-01,34.650002,35.930000,32.080002,32.799999,26.247271,12385900
2018-11-01,32.860001,33.799999,27.850000,29.100000,23.388283,13461800
2018-12-01,29.980000,30.110001,24.049999,25.809999,20.850454,14547400
2019-01-01,25.650000,28.719999,25.260000,27.920000,22.682823,14022400
2019-02-01,27.990000,32.380001,27.450001,32.310001,26.389679,15470900
2019-03-01,32.459999,33.599998,30.559999,31.510000,25.872387,11794100
2019-04-01,31.650000,32.919998,30.809999,30.959999,25.540842,10031600
2019-05-01,31.010000,34.529999,30.010000,32.560001,26.986113,15639400
2019-06-01,32.580002,34.520000,31.480000,33.700001,28.055988,9094200
2019-07-01,33.910000,35.840000,33.270000,33.580002,28.080849,8797700
2019-08-01,33.450001,34.430000,31.639999,32.130001,26.984888,10744700
2019-09-01,32.080002,34.400002,32.080002,32.169998,27.151615,9844900
2019-10-01,32.180000,32.360001,29.660000,30.530001,25.891363,13196800
2019-11-01,30.620001,34.070000,30.459999,32.410000,27.631445,17530500
2019-12-01,32.360001,34.639999,31.540001,34.020000,29.142469,14756100
2020-01-01,34.150002,35.450001,33.660000,34.529999,29.719782,14377000
2020-02-01,34.500000,36.560001,30.410000,32.220001,27.858940,18503600
2020-03-01,32.299999,32.919998,10.040000,13.080000,11.359808,52931100
2020-04-01,12.670000,21.889999,11.920000,20.650000,18.173779,40258700
2020-05-01,20.280001,22.760000,18.680000,21.820000,19.380264,23907300
2020-06-01,21.750000,24.070000,19.629999,20.670000,18.490927,22639500
2020-07-01,21.100000,21.889999,19.830000,20.360001,18.348213,18602300
2020-08-01,20.760000,24.990000,20.730000,23.820000,21.630035,21016800
2020-09-01,23.910000,24.570000,19.330000,20.100000,18.370327,25386200
2020-10-01,20.049999,22.139999,18.290001,18.910000,17.417292,21254200
2020-11-01,19.200001,23.660000,18.040001,22.410000,20.801483,29272300
2020-12-01,22.799999,24.389999,22.129999,22.620001,21.150301,21960100
2021-01-01,22.750000,26.950001,22.410000,24.020000,22.613831,18204300
2021-02-01,24.200001,27.059999,23.950001,24.670000,23.367563,21199700
2021-03-01,25.150000,27.709999,24.709999,26.120001,24.892853,23450500
2021-04-01,26.190001,28.309999,25.410000,28.110001,26.951105,19980500
2021-05-01,28.000000,30.930000,27.920000,30.219999,29.153936,19188900
2021-06-01,30.570000,35.750000,30.299999,33.310001,32.305927,19908600
2021-07-01,33.630001,33.840000,30.740000,33.400002,32.552883,11374300
2021-08-01,33.250000,33.599998,28.900000,30.379999,29.759493,15314300
2021-09-01,30.290001,33.540001,30.080000,31.870001,31.389425,15887400
2021-10-01,31.900000,33.279999,31.080000,31.719999,31.397697,14274800
2021-11-01,31.889999,32.380001,27.540001,28.680000,28.528605,18516000
2021-11-26,28.150000,29.120001,27.540001,28.680000,28.680000,1225777
